job_listing,original_date_posted,skills,company_name,job_city,job_region,job_postal_code,intext_job_title,intext_company_name,intext_date_posted,intext_location,get_education_level,intext_skills,coding_languages,technologies,methodologies,operating_systems,remote,years_experience,date_of_processing,salary,URL
Data Scientist,2021-04-26T16:06:18Z,"Attention to detail, Best practices, Integration, Microsoft Excel, Microsoft Outlook, Microsoft Word, Communication skills, Computer, Cross-functional, Documentation, Editing, MDM, Multitasking, QA, SAP, Service level, Specification, Troubleshooting",Aaratech,Greenville,SC,73301,Data Scientist,Aaratech,,"Greenville, SC",Associate's - Masters,"data entry, communication skills, attention to detail, troubleshooting, microsoft excel, microsoft word, microsoft outlook, qa, sap",,,,"master, college",False,1 to 2,7012021,,https://www.dice.com/jobs/detail/Data-Scientist-Aaratech-Greenville-SC-73301/91121805/6943246
Data Scientist/ research programmer/biostatistician/statistician (Tabeau,2021-06-10T17:30:23Z,"Tabeau, Stata, R",SigmaWay,,,,"Data Scientist/ research programmer/biostatistician/statistician (Tabeau , Stata , R experience is must )",SigmaWay,7/1/2021,,Bachelor's - Masters,"data science, tableau, data visualization, mathematics, sas, r, statistics, computer science","sr, context, stata, sas, r",,,,True,2,7012021,,https://www.dice.com/jobs/detail/Data-Scientist%26%2347-research-programmer%26%2347biostatistician%26%2347statistician-%28Tabeau-%2C-Stata-%2C-R-experience-is-must-%29-SigmaWay---/90994229/7001494
Senior Data scientist,2021-07-01T19:45:04Z,"Data scientis, Python, R, SQL Machine Learing",Teksoft Systems Inc,Tampa,FL,33601,Senior Data scientist,Teksoft Systems Inc,7/1/2021,"Tampa, FL",Masters,"python, tibco, it consulting, sql, r","fl, python, sql, r, dynamo",,,,True,,7012021,,https://www.dice.com/jobs/detail/Senior-Data-scientist-Teksoft-Systems-Inc-Tampa-FL-33601/91115415/7030026
Cloud Data Scientist,2021-05-26T23:08:36Z,"cloud, data scientist, data, KPI, Churn, R, Python, SQL, Power Bi, Statistics",Ledgent Technology,Irvine,CA,92618,Cloud Data Scientist,Ledgent Technology,7/1/2021,"Irvine, CA",Bachelor's - Masters,"python, cloud, sql, sales, machine learning, modeling, r, marketing, statistics, neural networks","r, sql, python",,,monitor,False,3 to 5,7012021,,https://www.dice.com/jobs/detail/Cloud-Data-Scientist-Ledgent-Technology-Irvine-CA-92618/RTL152550/1005312757671
Senior Data Scientist,2021-04-27T00:32:06Z,"Network, Networks, DNA, Analyst, Computer, Physics, Python, SQL, MySQL",DISH Network,Foster City,CA,93001,Senior Data Scientist,DISH Network,7/1/2021,"Foster City, CA",Bachelor's - Masters,"big data, amazon redshift, physics, python, data visualization, sql, data processing, mysql, data analysis, computer science, marketing, statistics, data engineering","python, processing, sql, mysql",,,,False,3,7012021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-DISH-Network-Foster-City-CA-93001/90312222/54318
Data Scientists (Fulltime),2020-09-25T14:06:39Z,"Machine Learning, Python, Data scientists",CNET Global Solution,Richardson,TX,75080,Data Scientists (Fulltime),"CNET Global Solutions, INC",7/1/2021,"Richardson, TX",Bachelor's - Masters,"weka, predictive analytics, python, artificial intelligence, tableau, data mining, operations research, sql, sas, machine learning, modeling, statistical analysis, data modeling, r, statistics, computer science","processing, python, sql, ml, sas, r",,,,False,,7012021,,https://www.dice.com/jobs/detail/Data-Scientists-%28Fulltime%29-CNET-Global-Solutions%2C-INC-Richardson-TX-75080/10120924/6698484
Data Scientist,2021-05-13T00:46:10Z,"Scientific, Engineering, Python",Motion Recruitment,Boston,MA,2108,Data Scientist,Motion Recruitment,7/1/2021,"Boston, MA",Bachelor's - Masters,"chemical engineering, data science, data management, python, communication skills",python,,prototyping,vision,False,,7012021,,https://www.dice.com/jobs/detail/Data-Scientist-Motion-Recruitment-Boston-MA-02108/10105282/461988
Data Science Engineer - Remote - Cyber Security,2021-05-20T02:09:21Z,"Engineer, Software, Python, Windows, System, Programming, Linux, Development",Michael Page,Boston,MA,2298,Data Science Engineer,Remote,,"Cyber Security - Michael Page - Boston, MA",Bachelor's - Masters,"lisp, machine learning, testing, github, statistics, data science, written communication skills, git, continuous integration, software architecture, unit tests, linux kernel, linux, agile, mathematics, communication skills, network security, python, ruby","lisp, python, ml, ruby, t",pytorch,"agile, git, ci/cd, continuous integration, github","linux, vision",True,3,7012021,,https://www.dice.com/jobs/detail/Data-Science-Engineer-%26%2345-Remote-%26%2345-Cyber-Security-Michael-Page-Boston-MA-02298/appblok/11153_1443007
Data Scientist,2021-06-28T22:49:15Z,"API, Agile, DBA, Java",Cynet Systems,Santa Clara,CA,95050,Data Scientist,Cynet Systems,7/1/2021,"Santa Clara, CA",Bachelor's - Masters,"data science, dba, agile, python, data visualization, devops, software development, advanced analytics, spring, r, javascript, database, kubernetes, api, java, docker, writing, typescript","python, s3, javascript, java, r, typescript","kubernetes, aws","agile software development, ci/cd, agile",spring,False,5,7012021,,https://www.dice.com/jobs/detail/Data-Scientist-Cynet-Systems-Santa-Clara-CA-95050/10516350/CA_DJER_0628
TensorFlow with Data Scientist/ Data Engineer,2021-06-25T16:33:47Z,"TensorFlow, Data science, Data engineering, Data analysis, Machine learning, Python, R",Vuesol Technologies Inc.,,,,TensorFlow with Data Scientist/ Data Engineer,Vuesol Technologies Inc.,7/1/2021,,Bachelor's - Masters,"data science, python, sql, data analysis, machine learning, scala, ruby, tensorflow, r, statistics, data engineering","sr, python, sql, scala, ruby, r",tensorflow,,,True,2,7012021,,https://www.dice.com/jobs/detail/TensorFlow-with-Data-Scientist%26%2347-Data-Engineer-Vuesol-Technologies-Inc.---/90966045/21%26%234515186
Data Scientist,2021-06-03T20:08:01Z,"machine learning, kedro, python, R, c++, Statistical Analysis, Neural Networks, Extreme Gradient Boost",Vistra Corp,Irving,TX,75014,Data Scientist,Vistra Corp,,"Irving, TX",Bachelor's - Masters,"data mining, machine learning, statistical analysis, statistics, data science, leadership, neural networks, c++, communication skills, information retrieval, r, computer science, use cases, python, c, distributed computing, algorithms, thought leadership, boost, operations research","python, c, factor, plus, c++, r",,,college,False,,7012021,,https://www.dice.com/jobs/detail/Data-Scientist-Vistra-Corp-Irving-TX-75014/91113255/6992322
Sr. Data Scientist - Remote - Cyber Security - $160k,2021-06-20T02:15:16Z,"Engineer, Python, UML",Michael Page,Boston,MA,2298,Sr. Data Scientist,Remote,6/17/2021,"Cyber Security - $160k - Michael Page - Boston, MA",Bachelor's - Masters,"data science, python, agile, git, software engineering, machine learning, software architecture, network security, uml, computer science, test suites","python, ml",,"ci/cd, agile, git",vision,True,3,7012021,,https://www.dice.com/jobs/detail/Sr.-Data-Scientist-%26%2345-Remote-%26%2345-Cyber-Security-%26%2345-%24160k-Michael-Page-Boston-MA-02298/appblok/11153_1502283
Data Scientist with GRC Exp,2021-06-28T19:46:03Z,"Artificial intelligence, Compliance, Data science, Governance, Incident management, Machine learning, Monitoring, SAP GRC, Financial services",Ztek Consulting,Boston,MA,2108,Data Scientist with GRC Exp,Ztek Consulting,,"Boston, MA",Bachelor's - Masters,"data science, python, agile, leadership, financial services, oral communication skills, software development, incident management, communication skills, machine learning, r, github, sap grc, sap","r, python",,"agile software development, github, agile",,False,7,7012021,,https://www.dice.com/jobs/detail/Data-Scientist-with-GRC-Exp-Ztek-Consulting-Boston-MA-02108/10217521/7024551
Director of ML / Data Science,2021-06-11T00:49:24Z,"Director, NLP, Python, Java, Management, IT",Motion Recruitment,San Jose,CA,95101,Director of ML / Data Science,Motion Recruitment,7/1/2021,"San Jose, CA",Bachelor's - Masters,"san, python, ontologies, leadership, natural, google cloud, cloud, knowledge base, deep learning, algorithms, java","java, python, small","pytorch, aws",prototyping,vision,False,2 to 5,7012021,,https://www.dice.com/jobs/detail/Director-of-ML-%26%2347-Data-Science-Motion-Recruitment-San-Jose-CA-95101/10105282/465231
Lead Data Science Analyst,2021-06-15T03:32:10Z,"Engineering, Modeling",Discover,Riverwoods,IL,60015,Lead Data Science Analyst,Discover,6/17/2021,"Riverwoods, IL",Bachelor's - Masters,"marketing analytics, leadership, financial services, banking, advanced analytics, mathematics, machine learning, modeling, statistical analysis, credit risk, marketing, statistics",reason,,,monitor,False,2 to 4,7012021,,https://www.dice.com/jobs/detail/Lead-Data-Science-Analyst-Discover-Riverwoods-IL-60015/appblok/9961_R7107
Lead Data Science Analyst - IHM,2021-06-26T03:30:35Z,"Analyst, Mathematical, SAS, SQL, UNIX, Teradata, Web",Discover,Riverwoods,IL,60015,Lead Data Science Analyst,IHM,,"Discover - Riverwoods, IL",Bachelor's - Masters,"financial services, web services, machine learning, statistical analysis, statistics, data science, leadership, advanced analytics, sas, banking, mathematics, sql, teradata, design of experiments, amazon web services, unix, algorithms, modeling, finance","sas, sql, reason",,,monitor,False,2 to 4,7012021,,https://www.dice.com/jobs/detail/Lead-Data-Science-Analyst-%26%2345-IHM-Discover-Riverwoods-IL-60015/appblok/9961_R7984
Senior Data Science Analyst,2021-06-18T03:33:53Z,"Engineering, Modeling",Discover,Riverwoods,IL,60015,Senior Data Science Analyst,Discover,6/17/2021,"Riverwoods, IL",Bachelor's - Masters,"marketing analytics, leadership, financial services, banking, advanced analytics, mathematics, modeling, statistical analysis, design of experiments, credit risk, marketing, statistics",reason,,,monitor,False,2 to 4,7012021,,https://www.dice.com/jobs/detail/Senior-Data-Science-Analyst-Discover-Riverwoods-IL-60015/appblok/9961_R6082
Senior Data Science Analyst,2021-06-25T03:33:01Z,"Engineering, Modeling",Discover,Riverwoods,IL,60015,Senior Data Science Analyst,Discover,,"Riverwoods, IL",Bachelor's - Masters,"marketing analytics, leadership, financial services, banking, advanced analytics, mathematics, modeling, statistical analysis, design of experiments, credit risk, marketing, statistics",reason,,,monitor,False,2 to 4,7022021,,https://www.dice.com/jobs/detail/Senior-Data-Science-Analyst-Discover-Riverwoods-IL-60015/appblok/9961_R7123
Principal Data Scienc,2021-07-01T03:30:16Z,"Analytical, Computer, Engineering, Modeling",Discover,Riverwoods,IL,60015,"Principal Data Science, Digital Analytics",Discover,,"Riverwoods, IL",Bachelor's - Masters,"marketing analytics, leadership, financial services, banking, advanced analytics, mathematics, machine learning, modeling, thought leadership, statistical analysis, credit risk, marketing, computer science",reason,,,monitor,False,4 to 6,7022021,,https://www.dice.com/jobs/detail/Principal-Data-Science%2C-Digital-Analytics-Discover-Riverwoods-IL-60015/appblok/9961_R6003
Senior Data Science Analyst,2021-07-02T03:33:56Z,"Engineering, Modeling",Discover,Riverwoods,IL,60015,Senior Data Science Analyst,Discover,,"Riverwoods, IL",Bachelor's - Masters,"marketing analytics, leadership, financial services, banking, advanced analytics, mathematics, modeling, statistical analysis, design of experiments, credit risk, marketing, statistics",reason,,,monitor,False,2 to 4,7022021,,https://www.dice.com/jobs/detail/Senior-Data-Science-Analyst-Discover-Riverwoods-IL-60015/appblok/9961_R7391
Cloud Data Science Manager,2021-05-27T04:08:51Z,"IT, Engineering, Manager, Management",Fannie Mae,Reston,VA,20190,Cloud Data Science Manager,Fannie Mae,,"Reston, VA",Bachelor's - Masters,"data integration, management skills, leadership, cloud, problem solving, operational excellence, communication skills, finance, testing, it infrastructure",goal,aws,,,False,6,7022021,,https://www.dice.com/jobs/detail/Cloud-Data-Science-Manager-Fannie-Mae-Reston-VA-20190/appblok/13981_REF3141J
Senior Manager Data Science,2021-07-02T03:32:11Z,"Engineering, Modeling, Management",Discover,Riverwoods,IL,60015,Senior Manager Data Science,Discover,7/2/2021,"Riverwoods, IL",Bachelor's - Masters,"marketing analytics, data science, project management, leadership, financial services, continuous improvement, banking, advanced analytics, mathematics, machine learning, modeling, thought leadership, statistical analysis, credit risk, marketing, statistics",reason,,,monitor,False,2 to 8,7022021,,https://www.dice.com/jobs/detail/Senior-Manager-Data-Science-Discover-Riverwoods-IL-60015/appblok/9961_R7958
Sr. Data Science - Software Engineer,2021-06-10T00:46:34Z,"Computer, Python, SQL, Apache, Engineering",Motion Recruitment,Washington,DC,20001,Sr. Data Science,Software Engineer,7/2/2021,"Motion Recruitment - Washington, DC",Bachelor's - Masters,"aviation, big data, python, opencv, agile, software development, cloud, c#, sql, nosql, distributed computing, computer engineering, mvp, database, tensorflow, kubernetes, docker, computer science","python, c#, sql, nosql, spark","kubernetes, tensorflow","agile software development, agile",,False,,7022021,,https://www.dice.com/jobs/detail/Sr.-Data-Science-%26%2345-Software-Engineer-Motion-Recruitment-Washington-DC-20001/10105282/462440
Senior Data Science Analyst - IHM,2021-07-01T03:32:40Z,"Analyst, Engineering, Business Intelligence, SAS, SQL, Teradata, Python, Web",Discover,Riverwoods,IL,60015,Senior Data Science Analyst,IHM,7/2/2021,"Discover - Riverwoods, IL",Associate's - Masters,"data science, python, leadership, financial services, banking, advanced analytics, mathematics, sql, teradata, sas, modeling, statistical analysis, design of experiments, electronic engineering, business intelligence, statistics","sas, sql, python, reason",,,master,False,2,7022021,,https://www.dice.com/jobs/detail/Senior-Data-Science-Analyst-%26%2345-IHM-Discover-Riverwoods-IL-60015/appblok/9961_R8067
Lead Data Science Analyst,2021-06-08T03:30:44Z,"Engineering, Modeling",Discover,Riverwoods,IL,60015,Lead Data Science Analyst,Discover,7/2/2021,"Riverwoods, IL",Bachelor's - Masters,"marketing analytics, leadership, financial services, banking, advanced analytics, mathematics, machine learning, modeling, statistical analysis, credit risk, marketing, statistics",reason,,,monitor,False,2 to 4,7022021,,https://www.dice.com/jobs/detail/Lead-Data-Science-Analyst-Discover-Riverwoods-IL-60015/appblok/9961_R7314
Senior Data Science Analyst,2021-07-02T03:32:16Z,"Engineering, Modeling, Teradata, SAS",Discover,New Castle,DE,19720,Senior Data Science Analyst,Discover,7/2/2021,"New Castle, DE",Bachelor's - Masters,"marketing analytics, leadership, tableau, financial services, banking, advanced analytics, mathematics, teradata, sas, modeling, statistical analysis, design of experiments, credit risk, marketing, statistics","sas, reason",,,monitor,False,2 to 4,7022021,,https://www.dice.com/jobs/detail/Senior-Data-Science-Analyst-Discover-New-Castle-DE-19720/appblok/9961_R7760
Lead Data Science Analyst,2021-06-19T03:34:03Z,"Engineering, Modeling",Discover,Riverwoods,IL,60015,Lead Data Science Analyst,Discover,6/18/2021,"Riverwoods, IL",Bachelor's - Masters,"marketing analytics, leadership, financial services, banking, advanced analytics, mathematics, machine learning, modeling, statistical analysis, credit risk, marketing, statistics",reason,,,monitor,False,2 to 4,7022021,,https://www.dice.com/jobs/detail/Lead-Data-Science-Analyst-Discover-Riverwoods-IL-60015/appblok/9961_R7567
Senior Data Science Analyst,2021-06-18T03:33:39Z,"Engineering, Modeling",Discover,Riverwoods,IL,60015,Senior Data Science Analyst,Discover,6/18/2021,"Riverwoods, IL",Bachelor's - Masters,"marketing analytics, leadership, financial services, banking, advanced analytics, mathematics, modeling, statistical analysis, design of experiments, credit risk, marketing, statistics",reason,,,monitor,False,2,7022021,,https://www.dice.com/jobs/detail/Senior-Data-Science-Analyst-Discover-Riverwoods-IL-60015/appblok/9961_R6292
Lead Data Science Analyst,2021-04-06T03:34:25Z,"Engineering, Modeling",Discover,Riverwoods,IL,60015,Lead Data Science Analyst,Discover,,"Riverwoods, IL",Bachelor's - Masters,"marketing analytics, leadership, financial services, banking, advanced analytics, machine learning, modeling, statistical analysis, credit risk, teamwork, marketing, statistics",reason,,,monitor,False,2 to 4,7022021,,https://www.dice.com/jobs/detail/Lead-Data-Science-Analyst-Discover-Riverwoods-IL-60015/appblok/9961_R5879
Lead Data Science Analyst,2021-06-26T05:08:15Z,"Engineering, Modeling",Discover,Riverwoods,IL,60015,Lead Data Science Analyst,Discover,,"Riverwoods, IL",Bachelor's - Masters,"marketing analytics, leadership, financial services, banking, advanced analytics, machine learning, modeling, statistical analysis, credit risk, teamwork, marketing, statistics",reason,,,monitor,False,2 to 4,7022021,,https://www.dice.com/jobs/detail/Lead-Data-Science-Analyst-Discover-Riverwoods-IL-60015/appblok/9961_R7805
Senior Data Science Analyst,2021-06-18T05:05:51Z,"Engineering, Modeling",Discover,Riverwoods,IL,60015,Senior Data Science Analyst,Discover,6/18/2021,"Riverwoods, IL",Bachelor's - Masters,"marketing analytics, leadership, financial services, banking, advanced analytics, mathematics, modeling, statistical analysis, design of experiments, credit risk, marketing, statistics",reason,,,monitor,False,2 to 4,7022021,,https://www.dice.com/jobs/detail/Senior-Data-Science-Analyst-Discover-Riverwoods-IL-60015/appblok/9961_R7616
Data Science Engineer,2021-07-01T15:45:45Z,"machine learning, Artificial Intelligence, Data Sciences",Noblesoft Technologies Inc.,,,,Data Science Engineer,Noblesoft Technologies Inc.,7/2/2021,,Bachelor's - Masters,"san, data science, artificial intelligence, communication skills, deep learning, machine learning, product development",,,,,True,,7022021,,https://www.dice.com/jobs/detail/Data-Science-Engineer-Noblesoft-Technologies-Inc.---/91112163/7029078
AV,2021-05-26T10:15:34Z,"Artificial Intelligence, Engineering, Computer, Physics, Biology, Manager, Python, Security, Management, Linux, SQL",Deloitte,Phoenix,AZ,85001,"AVP, Data Science",AI Graph Expert,7/2/2021,"Deloitte - Phoenix, AZ",Bachelor's - Masters,"algorithms, leadership, google cloud, cyber security, communication skills, computer science, mathematics, artificial intelligence, data science, python, statistics, sql, linux, physics, perforce, data management, deep learning, cloud, chemistry, database, product development, biology, machine learning","shell, go, sql, python",pytorch,version control,"go, linux",False,,7022021,,https://www.dice.com/jobs/detail/AVP%2C-Data-Science-%26%2345-AI-Graph-Expert-Deloitte-Phoenix-AZ-85001/10106525/29839
Data Science Engineer - Remote - Cyber Security,2021-05-19T18:16:10Z,"Engineer, Software, Python, Windows, System, Programming, Linux, Development",Michael Page,Boston,MA,2298,Data Science Engineer,Remote,,"Cyber Security - Michael Page - Boston, MA",Bachelor's - Masters,"machine learning, github, communication skills, git, mathematics, data science, python, statistics, linux, unit tests, continuous integration, agile, software architecture, written communication skills, network security, lisp, linux kernel, ruby, testing","python, ml, ruby, t, lisp",pytorch,"git, agile, ci/cd, github, continuous integration","vision, linux",True,3,7022021,,https://www.dice.com/jobs/detail/Data-Science-Engineer-%26%2345-Remote-%26%2345-Cyber-Security-Michael-Page-Boston-MA-02298/appblok/11153_1443007rxv_21_1
Data Science Engineer - Remote - Cyber Security,2021-05-19T18:31:10Z,"Engineer, Software, Python, Windows, System, Programming, Linux, Development",Michael Page,Boston,MA,2298,Data Science Engineer,Remote,,"Cyber Security - Michael Page - Boston, MA",Bachelor's - Masters,"machine learning, github, communication skills, git, mathematics, data science, python, statistics, linux, unit tests, continuous integration, agile, software architecture, written communication skills, network security, lisp, linux kernel, ruby, testing","python, ml, ruby, t, lisp",pytorch,"git, agile, ci/cd, github, continuous integration","vision, linux",True,3,7022021,,https://www.dice.com/jobs/detail/Data-Science-Engineer-%26%2345-Remote-%26%2345-Cyber-Security-Michael-Page-Boston-MA-02298/appblok/11153_1443007rxv_51_1
DATA SCIENTIST,2021-07-02T17:30:27Z,"DATA, scientist, statistics, statistical, R, SAS, SPSS, JMP, PYTHON, SQL, PIPELINE, visualization, analysis, mining",HCL America Inc.,Redmond,WA,98052,DATA SCIENTIST,HCL America Inc.,,"Redmond, WA",Bachelor's - Masters,"data analysis, product development, algorithms, data mining, python, marketing, data collection, sdlc, data visualization, r, sas, sql, data science, mathematics, statistical analysis, jmp, biostatistics, roadmaps, statistics","s-plus, small, pipelines, r, sas, python, sql",jmp,,,False,7,7082021,,https://www.dice.com/jobs/detail/DATA-SCIENTIST-HCL-America-Inc.-Redmond-WA-98052/10432120/7031288
Climate Policy Data Scientist,2021-07-01T21:07:20Z,"Data analysis, Data visualization, GitHub, Python, Quantitative analyst, R, RStudio, Data science",CEA Consulting,Irvine,CA,92602,Climate Policy Data Scientist,CEA Consulting,,"Irvine, CA",Bachelor's - Masters,"data science, quantitative analyst, data visualization, statistical analysis, modeling, finance, rstudio, r, python, github","r, python, clean",,github,"monitor, scope, college",True,,7082021,,https://www.dice.com/jobs/detail/Climate-Policy-Data-Scientist-CEA-Consulting-Irvine-CA-92602/RTX1e27fd/7030231
Sr. Data Scientist/Full-time/$17,2021-07-06T14:08:11Z,"Python, SQL, Engineering",Motion Recruitment,Los Angeles,CA,90001,Sr. Data Scientist/Ful,"ime/$175,000",7/8/2021,"Motion Recruitment - Los Angeles, CA",Bachelor's,"blockchain, big data, r, python, sql","spark, r, python, sql",,,,False,7,7082021,,https://www.dice.com/jobs/detail/Sr.-Data-Scientist%26%2347Full%26%2345time%26%2347%24175%2C000-Motion-Recruitment-Los-Angeles-CA-90001/10105282/468080
Data Scientist - Remote Role,2021-06-15T13:32:44Z,"R, Python, Spark, Hadoop, Natural Language Processing, Machine Learning, Azure, GCP, AWS, Artificial Intelligence",Brilliant Infotech Inc.,,,,Data Scientist,Remote Role,7/8/2021,Brilliant Infotech Inc. -,Bachelor's - Masters,"data science, linux, google cloud, quality management, cloud, artificial intelligence, object-oriented programming, machine learning, software development, computer science, data structures, natural language processing, algorithms, python, natural","spark, processing, python","gcp, aws",object-oriented programming,linux,False,2,7082021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Remote-Role-Brilliant-Infotech-Inc.---/RTX19c80a/7007027
Data Scientist,2021-07-02T14:32:26Z,"Python, SQL",Jobot,Chapel Hill,NC,27514,Data Scientist,Jobot,7/8/2021,"Chapel Hill, NC",Bachelor's - Masters,"data analysis, data science, cloud, modeling, sql, machine learning, software development, statistics, python, natural, marketing","python, sql",pytorch,version control,,False,3,7082021,,https://www.dice.com/jobs/detail/Data-Scientist-Jobot-Chapel-Hill-NC-27514/91113390/1622868230
Senior Data Scientist,2021-07-07T14:10:32Z,"Research, Engineering, Computer, Python, Testing",Motion Recruitment,San Jose,CA,95101,Senior Data Scientist,Motion Recruitment,7/8/2021,"San Jose, CA",Bachelor's - Masters,"operations research, data science, leadership, machine learning, testing, computer science, statistics, team leadership, python, mathematics",python,,,,False,3,7082021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-Motion-Recruitment-San-Jose-CA-95101/10105282/462787
Principal Data Scientist,2021-07-05T14:16:15Z,"Artificial Intelligence, Python, MySQL, SQL, Development, Computer, Data Mining, Programming, ACL",Jobot,San Mateo,CA,94401,Principal Data Scientist,Jobot,7/8/2021,"San Mateo, CA",Bachelor's - Masters,"hipaa, algorithms, data mining, predictive analytics, mysql, leadership, artificial intelligence, computer science, professional development, natural, google cloud, c, flask, machine learning, deep learning, scala, sql, data science, cloud, c++, big data, tensorflow, publishing, computer vision, python","mysql, spark, ml, c, c++, scala, source, python, sql","tensorflow, kubeflow, aws",,vision,True,,7082021,,https://www.dice.com/jobs/detail/Principal-Data-Scientist-Jobot-San-Mateo-CA-94401/91113390/1762077077
Senior Data Scientist - Full Time - Remote,2021-07-06T22:31:15Z,"python, Agile, R, Machine Learning, ML, alteryx, Senior Data Scientist, AWS/Azure/GCP",InfiCare Technologies,Jersey City,NJ,7302,Senior Data Scientist,Full Time,,"Remote - InfiCare Technologies - Jersey City, NJ",Bachelor's - Masters,"neural networks, data science, data modeling, data visualization, cloud, tableau, modeling, data engineering, agile, machine learning, big data, computer science, r, mathematics","ml, r, pipelines, plus",,agile,,True,2 to 8,7082021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-%26%2345-Full-Time-%26%2345-Remote-InfiCare-Technologies-Jersey-City-NJ-07302/10113809/2021%26%234526149
Hybrid Data Engineer / Data Scientist,2021-07-02T14:09:25Z,"Engineer, MySQL, Engineering, Python, Computer",Motion Recruitment,San Diego,CA,92101,Hybrid Data Engineer / Data Scientist,Motion Recruitment,7/8/2021,"San Diego, CA",Bachelor's - Masters,"data analysis, data science, mysql, data visualization, etl, data engineering, saas, machine learning, computer science, san, python","pipelines, python, scratch, mysql",,,,True,5,7082021,,https://www.dice.com/jobs/detail/Hybrid-Data-Engineer-%26%2347-Data-Scientist-Motion-Recruitment-San-Diego-CA-92101/10105282/462317
Data Scientist,2021-07-04T14:07:07Z,"Python, SQL",Motion Recruitment,Irvine,CA,92602,Data Scientist,Motion Recruitment,7/8/2021,"Irvine, CA",Bachelor's - Masters,"data science, sales, communication skills, tableau, data cleansing, big data, algorithms, sql, r, python, marketing","r, scratch, python, sql",,,,False,,7082021,,https://www.dice.com/jobs/detail/Data-Scientist-Motion-Recruitment-Irvine-CA-92602/10105282/461343
Data Scientist,2021-07-07T14:30:26Z,"Mathematical Modeling, Statistics, Machine Learning, Data Analysis, Research",Dahl Consulting,Hartford,CT,6101,Data Scientist,Dahl Consulting,,"Hartford, CT",Masters,"data analysis, modeling, machine learning, data mining, statistics",,,,,False,,7082021,,https://www.dice.com/jobs/detail/Data-Scientist-Dahl-Consulting-Hartford-CT-06101/10109792/7034203
Senior Data Scientist,2021-07-02T14:08:57Z,"Python, Test",Motion Recruitment,Palo Alto,CA,94301,Senior Data Scientist,Motion Recruitment,7/8/2021,"Palo Alto, CA",Bachelor's - Masters,"data collection, cyber security, tensorflow, machine learning, testing, algorithms, networking, product management, python","goal, python",tensorflow,,,False,,7082021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-Motion-Recruitment-Palo-Alto-CA-94301/10105282/467999
Data Scientist - Farmington hill,2021-03-12T23:31:14Z,,Technosoft Corporation,Farmington Hills,MI,48331,Data Scientist,"Farmington hills, MI OR Fort worth, TX",,"Technosoft Corporation - Farmington Hills, MI",Bachelor's - Masters,"technical writing, business analytics, data science, machine learning, r, writing, computer science, statistics, python, data mining, sas, mathematics, sql","r, sas, python, sql",,,,False,3 to 5,7082021,,https://www.dice.com/jobs/detail/Data-Scientist-%26%2345-Farmington-hills%2C-MI-OR-Fort-worth%2C-TX-Technosoft-Corporation-Farmington-Hills-MI-48331/tecnosb/2021%26%234513258
We are looking for Data Scientis,2021-07-08T12:45:32Z,"3+ years in statistical modeling and quantitative analysis in industry or full-time academic research., Proficiency with Python.",Infomeric,Houston,TX,77001,"We are looking for Data Scientist, Houston, Texas, 6+ Months contract","Infomerica, Inc",7/8/2021,"Houston, TX",Bachelor's - Masters,"operations research, linux, physics, com, customer acquisition, modeling, machine learning, big data, computer science, industrial engineering, statistics, algorithms, sql, r, sas, mathematics, marketing","r, factor, sas, sql",,,linux,False,3,7082021,,https://www.dice.com/jobs/detail/We-are-looking-for-Data-Scientist%2C-Houston%2C-Texas%2C-6%2B-Months-contract-Infomerica%2C-Inc-Houston-TX-77001/10374913/7035845
Lead Data Scientist,2021-07-06T19:15:54Z,"Python, Pandas, ML, TensorFlow, SQL, Healthcare",The Doyle Group,,,,Lead Data Scientist,The Doyle Group,,,Bachelor's - Masters,"data science, it consulting, cloud, product development, vendor relationships, machine learning, tensorflow, data management, python, sql","ml, go, source, python, sql",tensorflow,,go,True,0 to 8,7082021,,https://www.dice.com/jobs/detail/Lead-Data-Scientist-The-Doyle-Group---/10347349a/7033746
Sr. Data Scientist/Full-time/$17,2021-07-07T14:06:15Z,"Python, SQL, Engineering",Motion Recruitment,Los Angeles,CA,90001,Sr. Data Scientist/Ful,"ime/$175,000",7/8/2021,"Motion Recruitment - Los Angeles, CA",Bachelor's,"blockchain, big data, r, python, sql","spark, r, python, sql",,,,False,7,7082021,,https://www.dice.com/jobs/detail/Sr.-Data-Scientist%26%2347Full%26%2345time%26%2347%24175%2C000-Motion-Recruitment-Los-Angeles-CA-90001/10105282/468250
Senior Data Scientist,2021-07-07T14:10:03Z,"Python, Java",Jobot,Mclean,VA,22030,Senior Data Scientist,Jobot,7/8/2021,"Mclean, VA",Bachelor's - Masters,"data visualization, cloud, modeling, etl, data integration, scala, data management, python, java","scala, python, pipelines, java",,,,False,5,7082021,,https://www.dice.com/jobs/detail/Senior-Data-Scientist-Jobot-Mclean-VA-22030/91113390/269129666
